text,key,en_a1,en_a2,en_a3,en_a4,en_a5,en_a6
"    This is our history . For Shia and Sunni , don't listen as Shia and Sunni , listen as Muslim and decided we are believer of Hz Mohammed As. or Ulmas. Don't see who is talking. Listen what he saying and after open the books for confirmation.",question_2,,,,,,0.0
"   If this is ""grilling"" then wht wud u call th stuff whch male partners are subjected to when ladies commit suicide? Wth ALL the stuff against #RheaChakrobarty .. she STILL hasnt bn arrested..given a looong rope by the #FeministMafia ruled establishment😡",question_2,,,,1.0,,
  look at <handle replaced>madam. Locals attacked. No religion angle here. We are for no reason bashing Muslims. Because we are fools.,question_2,,,,,0.0,
  our beloved yogi ji has given money home and fame to the girl's family... This will expose the truth that they made yogi ji a big fool. #unnaocase #MenToo #failedjuidiciary <handle replaced>,question_2,,,,,1.0,
"""I gonna kill that bitch""  Bitvj imma kill you weak ass",question_2,,,,,,1.0
"""In America, where the genuine Englishman no longer stands behind the system, the custom now is for the parties to deliver one set of promises to the people, and another to the trust that fills the party coffers; the first set is published, the second is kept."" -Oswald Spengler",question_2,,,,0.0,,
"""In the earlier decades the rallying cry of the deprived people was independence. Today it should be self-reliance"": #IndiraGandhi. In fact, Indira Gandhi repeatedly used the words 'self-reliant' India in her speeches and writings. #AtmaNirbharBharatAbhiyan .",question_2,,,,0.0,,
"""Those who do not learn from history are doomed to repeat it.""   India is playing with fire and soon enough it will find out what several other nation-states have in the past already by aligning with the US: America is a liability, not an asset. It does not care about you.",question_2,,,,,,0.0
"""blank is blank culture/experience""  me literally every single time: bitch where???",question_2,,0.0,,,,
"""cannot even burn the effigy"" LMAO 😂😂😂😂",question_2,,,0.0,,,
"""it's because she insulted shippers"" Not like you guys don't also do the same.  This victim card would soon expire",question_2,,,1.0,,,
#AliaBhatt - You're the biggest Womanizer 🤬  . . #RanbirKapoor - But not like your dad #MaheshBhatt 🤣😂😅😝😋😜   Remember #RheaChakraborty ??/,question_2,,,,0.0,,
"#ArrestRanaAyyub for disturbing our religious harmony &amp; integrity, she is trying to provoke muslims to unrest our country.🙏 <handle replaced><handle replaced>",question_2,,,,,1.0,
#ArrestSonaliPhogat  What a shame <handle replaced>has over 50 #GenderBiasedLaws wid their Rampant MISUSE !!  Irresp. of parties these shit shd receive #EqualPenalty as any #Men gets 4 similar crimes  <handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced>,question_2,,,,1.0,,
"#ArrestSwatiMaliwal #boislockeroom #FeminismIsCoronaVirus #justiceformanav Save Men from #FakeCases in #lockdown2020 India is a no ""Man's"" land #GenderBiasedLaws are killing Men <handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced>",question_2,,,1.0,,,
#BCCI founders were sure 93 years ago that one day govt will sell all the government companies. So they used their sixth sense and established it as private organisation only.🤪,question_2,,,,0.0,,
#ComicsGaters hear about the Predator movie has had scenes cut featuring a sex offender:  DUUUH! #MENSLIVESMATTER! The Hollywood FEMINAZI SJWs are RUINING OUR MOVIES YET AGAIN!!! CUUUUUCKS!,question_2,,,,,,1.0
"#Dalitwomen are always raped,paraded naked,forced to eat excreta to either teach them or their caste a lesson. It happened b4, wl happen agn",question_2,,,,,0.0,
"#GeorgiaBlue  #DeplorableIrredeemableSeditiousFuckers #Justice #Accountability  These are tRumpists, what they are are the scum of the earth, the dirt on your shoes!  Who does this? Scumbags!",question_2,,,,,0.0,
#Help RT Jai Bhim! Jai Savitri!   My friend &amp; activist <handle replaced>is working on her film which is about specific customs practiced only by Dalit communities. She’s from the community&amp; has been doing amazing work. We need research volunteers urgently. Please DM her if you can help,question_2,,0.0,,,,
#IStandWithAnshulSaxena  Rice bags conversion mafias are targeting <handle replaced>,question_2,,,,1.0,,
"#MadisonCawthorn lied to you and you not only fell for it but then you supported his lie and became like him, loudmouth unethical scumbags. It's time to put the trash at the curb and um... maybe get smarter.",question_2,,0.0,,,,
#MenAreTrash ??!! #womenaretrash ??!! Nope man the truth is #humansaretrash,question_2,0.0,,,,,1.0
#MichaelGove is a LIAR ! - he is unfit to be an MP     and unfit to serve in any public role  We need to get rid of scumbags like Gove and clean up British politics,question_2,,,,0.0,1.0,
"#PetrolPrice मोदी Government successful at every front but free loaders crying about ambani, Adani &amp; media houses who work for nation's interest.. But scammers n free loaders want Petrol, Diesel, LPG free..  Sickular lutyens Dalaal now barking #PetrolPrice",question_2,,,,0.0,,
#PowerOfSid   Reality of FakeNaaz by <handle replaced>,question_2,,,,,0.0,
#RheaChakraborty  <handle replaced>  GO TO HELL Bitch 🖕🖕🖕,question_2,,,,,,1.0
#SharamKaroGateKholo Modi Ji. Let the gates of SSP be opened. If you think you can flush 32000 families out of their villages l. You are mistaken. We have fought for 35 years and we will<handle replaced>to fight.,question_2,,,,0.0,,
#SreenivasanJain is one of the #seculars whose is furious today. He is worried of 55 cameras covering the event and Government funding the event. <handle replaced>cry your lungs out......No one gives a damn to your debate.   #sickular #NDTV.,question_2,,,0.0,,,
#SushantSinghRajput’s Emotional Note for Late Mother gets Love from #RheaChakraborty    ,question_2,,,,,,0.0
#Thankyou Bnn      for following us!  #visit our #Facebook     visit website      #Dowry #498a #FakeCases increasing #PurushAayog #MensCommission required #MensRights are #HumanRights  protect #Father #Son #Bo…,question_2,,,,,,1.0
#Trumps #zealot #terrorists are attacking everyone not suckling #facist penis. Treat them like the terrorist scumbags they are.   ,question_2,,,0.0,,,
#UPConversionRingBusted  Love jihad is reality.  This is a crime. Treat them as terrorists,question_2,,,,,,1.0
#VOX ES drove a bus though the streets calling women protesting domestic violence in Spain👉feminazi the misogynist scourge is in parliament Spain PM decries domestic violence surge after five women killed in a week  ,question_2,,1.0,,,,
#WomenAreTrash  they must be arrested and throw away the key,question_2,,,1.0,,,
#WomenAreTrash (and stupid).,question_2,,,,,1.0,
#WomenAreTrash bruh!,question_2,,,1.0,,,
#WomenAreTrash but some are not,question_2,,,,1.0,,
#WomenAreTrash for real 😂,question_2,,,,,,1.0
"#YamiGautam #DivyenduSharma promote 'Batti Gul Meter Chali', #AayushSharma #WarinaHussain spread love with 'Loveratri', #VarunMitra #RheaChakraborty for 'Jalebi'  # <handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced>   ",question_2,,0.0,,,,
